,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
8969,False,/AjZZVxmO6iUyYD5JS4ZuPeo78sx.jpg,"[878, 27]",455551,en,The Recall,"When five friends vacation at a remote lake house, they expect nothing less then a good time, unaware that Earth is under attack by an alien invasion and mass-abductions.",19.763,/yq2DGzM0kNWtGwkplGAcEEM4eSH.jpg,2017-06-02,The Recall,False,4.6,296
8970,False,/aPGiq38aCSXWkmvMiyucoyNPRQm.jpg,"[28, 53]",326425,en,Extraction,"When a former CIA operative is kidnapped by a group of terrorists, his son learns there is no plan for his father to be saved—so he launches his own rescue operation.",21.358,/96FQG1MyR9mJFcvPBZAdfsVqaMO.jpg,2015-12-18,Extraction,False,4.6,310
8971,False,/ued7mN6bSZCiq667wdhmkUYZOgJ.jpg,"[80, 53]",509853,en,The Fanatic,A rabid film fan stalks his favorite action hero and destroys the star's life.,16.787,/nojx83s8JWyYpI9oeKdQXniWMu6.jpg,2019-08-30,The Fanatic,False,4.6,210
8972,False,/cXpkDrZWK8amdYXzf24LH67Vftn.jpg,"[53, 80]",529983,en,The Poison Rose,"A down-on-his-luck PI is hired by his old flame to investigate a murder. But while the case at first appears routine, it slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies.",22.088,/gSzyUmg719TgAxarFZYWjLLMqvS.jpg,2019-05-23,The Poison Rose,False,4.6,235
8973,False,/usRJVfFNfAQkRa9yXsCTlWJpg7h.jpg,"[27, 18, 53]",293452,en,The Disappointments Room,A mother and her young son release unimaginable horrors from the attic of their rural dream home.,13.73,/6NGYoOZN4gLukP3i28ENz4nHsUS.jpg,2016-09-09,The Disappointments Room,False,4.6,385
8974,False,/9jhW1e8XNwHmq5OufskKndaktWf.jpg,"[28, 12, 14, 878]",13486,en,The Scorpion King 2: Rise of a Warrior,"The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.",15.91,/gry3TaU8u1C17dSW14PXi8RS6eA.jpg,2008-07-19,The Scorpion King 2: Rise of a Warrior,False,4.6,477
8975,False,/nB8WhH6VPvHiXngfEn7kSBdfSr2.jpg,"[28, 12, 53, 18, 878]",11667,en,Street Fighter,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,17.691,/6yh95dD2Y6uWAlPfWCZZygBM1ec.jpg,1994-12-23,Street Fighter,False,4.6,1167
8976,False,/d9XffDhi65UsJhbHlu534l9P2cN.jpg,"[53, 18]",109729,en,The Canyons,"The discovery of an illicit love affair leads two young Angelenos on a violent, sexually charged tour through the dark side of human nature.",7.635,/qZjgXUoNUy9biKyUWY4SyPHAqX4.jpg,2013-07-29,The Canyons,False,4.6,207
8977,False,/nluuHepuNveIYybe1injsScDb3N.jpg,"[80, 28, 27, 53]",12095,en,From Dusk Till Dawn 2: Texas Blood Money,"A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",22.828,/in11KZuaVuJnxVBipxYocDqMQbW.jpg,1999-03-16,From Dusk Till Dawn 2: Texas Blood Money,False,4.6,345
8978,False,/oIClM946YzrDDNdhV4E6f0Z9nbx.jpg,[35],87818,en,Movie 43,Fifteen directors and an all-star cast created this twisted comedy that follows three teens on the hunt for the world's most banned film.,100.738,/jqEzrpKhc7KMuoHlcAVcYoK7T7O.jpg,2013-01-01,Movie 43,False,4.5,1930
8979,False,/2ixS8cjAwXBpIEotWAEsa5SbZ59.jpg,"[35, 80]",11546,en,Police Academy: Mission to Moscow,"The Russians seek help in dealing with the Mafia from the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",18.24,/3517XQ9LpoEykyYq2TuDNS45MPP.jpg,1994-06-09,Police Academy: Mission to Moscow,False,4.5,666
8980,False,/4dlEX4GYbU1yskshllPE67pHlG0.jpg,"[35, 14, 878]",56715,en,Just Visiting,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard. Remake of  1993 French film Les Visiteurs (The Visitors).",10.134,/7KqzbefXjADSUE8j2ZsrudvAArY.jpg,2001-04-06,Just Visiting,False,4.6,546
8981,False,/22qysYEwRuULLU9Ep8IkxPFOUnR.jpg,[27],79316,en,Devil's Due,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.,17.765,/56zW5kl6b10UNIXpQZTUXV2iygC.jpg,2014-01-08,Devil's Due,False,4.6,435
8982,False,/xZy63KVyeQy2U2GGq2KtKSBTIta.jpg,[27],298584,en,Cabin Fever,"In this grisly remake of the 2002 horror hit, five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.",13.87,/yJQLWoizC5zBjVk9dr2Qo1K1TCI.jpg,2016-02-12,Cabin Fever,False,4.6,342
8983,False,/gUebSn2HgWchRx2sUwYAXpbxCfV.jpg,"[27, 18, 53, 9648]",420707,en,Cage Dive,"Three friends from California are filming an audition tape for an extreme reality game show. They document their journey to Australia where they will be doing their most dangerous activity.... Shark Cage Diving. A catastrophic turn of events leaves them in baited water full of Great White Sharks, turning their recording into a blood chilling diary of survival... and death.",15.029,/3uUO9eDxHeDREIX77BaQiI88ajp.jpg,2017-08-11,Cage Dive,False,4.6,262
8984,False,/xmBJ9nezUteqowdYfrW8383LHd9.jpg,"[53, 878]",248504,en,Sharknado 2: The Second One,"A freak weather system turns its deadly fury on New York City, unleashing a Sharknado on the population and its most cherished, iconic sites - and only Fin and April can save the Big Apple.",17.36,/GgZOBSNIkxz3qA66Jauv6VvIc.jpg,2014-07-30,Sharknado 2: The Second One,False,4.6,545
8985,False,/ylaTz3DraUNoRvH11pP8n0je6h3.jpg,[35],372822,it,Vacanze ai Caraibi - Il film di Natale,Three comedic and intertwined episodes.,6.167,/fabaun7KpABVTe2LJLcfI9ezGT3.jpg,2015-12-16,Vacanze ai Caraibi - Il film di Natale,False,4.6,265
8986,False,/x7fK0oOUX8Ks1B1lZsACmCXUybI.jpg,"[28, 14, 9648, 80]",314,en,Catwoman,"A shy woman, endowed with the speed, reflexes, and senses of a cat, walks a thin line between criminal and hero, even as a detective doggedly pursues her, fascinated by both of her personas",27.446,/pvnPgukFyEKgCzyOxyLiwyZ8T1C.jpg,2004-07-22,Catwoman,False,4.6,2806
8987,False,/2UnGDWrjli95hMe3Fm7OLPjAclC.jpg,"[878, 12, 28]",364470,it,Game Therapy,"A man tries to cure his friend of his video-game obsession by using a virtual reality machine. When the device traps his friend in a virtual world, he goes in to help him fight for his life.",5.454,/sflbkNKS9TWUc4VzUgMgqGjmFle.jpg,2015-10-22,Game Therapy,False,4.6,215
8988,False,/bck1APsiyOtEniGLsFO0Gu8QtUU.jpg,"[27, 53]",10726,en,American Psycho II: All American Girl,"Rachel is a criminology student hoping to land a position as a teacher's assistant for professor Robert Starkman. She's sure this position will pave the way to an FBI career, and she's willing to do anything to obtain it -- including killing her classmates. The school psychiatrist, Dr. Daniels, becomes aware that Rachel is insane, but Rachel is skilled at her dangerous game of death and identity theft.",15.467,/mUkuaPoC21Dtemnx583THBEdHG0.jpg,2002-04-22,American Psycho II: All American Girl,False,4.6,300
8989,False,/AjZZVxmO6iUyYD5JS4ZuPeo78sx.jpg,"[878, 27]",455551,en,The Recall,"When five friends vacation at a remote lake house, they expect nothing less then a good time, unaware that Earth is under attack by an alien invasion and mass-abductions.",19.763,/yq2DGzM0kNWtGwkplGAcEEM4eSH.jpg,2017-06-02,The Recall,False,4.6,296
8990,False,/aPGiq38aCSXWkmvMiyucoyNPRQm.jpg,"[28, 53]",326425,en,Extraction,"When a former CIA operative is kidnapped by a group of terrorists, his son learns there is no plan for his father to be saved—so he launches his own rescue operation.",21.358,/96FQG1MyR9mJFcvPBZAdfsVqaMO.jpg,2015-12-18,Extraction,False,4.6,310
8991,False,/ued7mN6bSZCiq667wdhmkUYZOgJ.jpg,"[80, 53]",509853,en,The Fanatic,A rabid film fan stalks his favorite action hero and destroys the star's life.,16.787,/nojx83s8JWyYpI9oeKdQXniWMu6.jpg,2019-08-30,The Fanatic,False,4.6,210
8992,False,/cXpkDrZWK8amdYXzf24LH67Vftn.jpg,"[53, 80]",529983,en,The Poison Rose,"A down-on-his-luck PI is hired by his old flame to investigate a murder. But while the case at first appears routine, it slowly reveals itself to be a complex interwoven web of crimes, suspects and dead bodies.",22.088,/gSzyUmg719TgAxarFZYWjLLMqvS.jpg,2019-05-23,The Poison Rose,False,4.6,235
8993,False,/usRJVfFNfAQkRa9yXsCTlWJpg7h.jpg,"[27, 18, 53]",293452,en,The Disappointments Room,A mother and her young son release unimaginable horrors from the attic of their rural dream home.,13.73,/6NGYoOZN4gLukP3i28ENz4nHsUS.jpg,2016-09-09,The Disappointments Room,False,4.6,385
8994,False,/9jhW1e8XNwHmq5OufskKndaktWf.jpg,"[28, 12, 14, 878]",13486,en,The Scorpion King 2: Rise of a Warrior,"The heroic tale of young Mathayus and his relentless quest for justice against an evil and powerful villain, King Sargon. Mathayus faces heart-stopping tribulations during his adventurous, odds-defying trajectory toward his ultimate destiny: becoming the formidable warrior king of an ancient desert empire.",15.91,/gry3TaU8u1C17dSW14PXi8RS6eA.jpg,2008-07-19,The Scorpion King 2: Rise of a Warrior,False,4.6,477
8995,False,/nB8WhH6VPvHiXngfEn7kSBdfSr2.jpg,"[28, 12, 53, 18, 878]",11667,en,Street Fighter,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,17.691,/6yh95dD2Y6uWAlPfWCZZygBM1ec.jpg,1994-12-23,Street Fighter,False,4.6,1167
8996,False,/d9XffDhi65UsJhbHlu534l9P2cN.jpg,"[53, 18]",109729,en,The Canyons,"The discovery of an illicit love affair leads two young Angelenos on a violent, sexually charged tour through the dark side of human nature.",7.635,/qZjgXUoNUy9biKyUWY4SyPHAqX4.jpg,2013-07-29,The Canyons,False,4.6,207
8997,False,/nluuHepuNveIYybe1injsScDb3N.jpg,"[80, 28, 27, 53]",12095,en,From Dusk Till Dawn 2: Texas Blood Money,"A gang of bank-robbing misfits heads to Mexico with the blueprints for the perfect million-dollar heist, but when one of the crooks wanders into the wrong bar... and crosses the wrong vampire... the thieving cohorts develop a thirst for blood!",22.828,/in11KZuaVuJnxVBipxYocDqMQbW.jpg,1999-03-16,From Dusk Till Dawn 2: Texas Blood Money,False,4.6,345
8998,False,/oIClM946YzrDDNdhV4E6f0Z9nbx.jpg,[35],87818,en,Movie 43,Fifteen directors and an all-star cast created this twisted comedy that follows three teens on the hunt for the world's most banned film.,100.738,/jqEzrpKhc7KMuoHlcAVcYoK7T7O.jpg,2013-01-01,Movie 43,False,4.5,1930
8999,False,/2ixS8cjAwXBpIEotWAEsa5SbZ59.jpg,"[35, 80]",11546,en,Police Academy: Mission to Moscow,"The Russians seek help in dealing with the Mafia from the veterans of the Police Academy. They head off to Moscow, in order to find evidence against Konstantin Konali, who marketed a computer game that everyone in the world is playing.",18.24,/3517XQ9LpoEykyYq2TuDNS45MPP.jpg,1994-06-09,Police Academy: Mission to Moscow,False,4.5,666
9000,False,/4dlEX4GYbU1yskshllPE67pHlG0.jpg,"[35, 14, 878]",56715,en,Just Visiting,"A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard. Remake of  1993 French film Les Visiteurs (The Visitors).",10.134,/7KqzbefXjADSUE8j2ZsrudvAArY.jpg,2001-04-06,Just Visiting,False,4.6,546
9001,False,/22qysYEwRuULLU9Ep8IkxPFOUnR.jpg,[27],79316,en,Devil's Due,An unexpected pregnancy takes a terrifying turn for newlyweds Zach and Samantha McCall.,17.765,/56zW5kl6b10UNIXpQZTUXV2iygC.jpg,2014-01-08,Devil's Due,False,4.6,435
9002,False,/xZy63KVyeQy2U2GGq2KtKSBTIta.jpg,[27],298584,en,Cabin Fever,"In this grisly remake of the 2002 horror hit, five college chums rent an isolated woodland cabin for a party. But their fun quickly ends when the group is exposed to a hideous flesh-eating virus, and survival becomes the name of the game.",13.87,/yJQLWoizC5zBjVk9dr2Qo1K1TCI.jpg,2016-02-12,Cabin Fever,False,4.6,342
